,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class,sales_channel,response
0,arizona,4809.21696,college,male,48029,61,0.0,corporate auto,292.8,four-door car,agent,no
1,california,2228.525238,college,female,0,64,0.0,personal auto,744.924331,four-door car,call center,no
2,washington,14947.9173,bachelor,male,22139,100,0.0,personal auto,480.0,suv,call center,no
3,oregon,22332.43946,college,male,49078,97,0.0,corporate auto,484.013411,four-door car,branch,yes
4,oregon,9025.067525,bachelor,female,23675,117,,personal auto,707.925645,four-door car,branch,no
5,,4745.181764,high school or below,male,50549,61,0.0,personal auto,292.8,four-door car,agent,
6,california,5035.035257,doctor,female,37405,63,3.0,corporate auto,287.556107,four-door car,branch,no
7,california,4956.247235,high school or below,male,87197,63,0.0,personal auto,247.402353,two-door car,branch,no
8,california,5989.773931,college,male,66839,154,0.0,personal auto,739.2,sports car,branch,yes
9,oregon,17114.32815,master,female,70961,85,0.0,corporate auto,408.0,four-door car,agent,no
10,arizona,5154.764074,high school or below,male,82730,127,0.0,corporate auto,442.521087,suv,branch,no
11,,2420.711888,bachelor,male,31710,62,0.0,corporate auto,199.551735,two-door car,call center,
12,oregon,19955.25713,high school or below,female,69096,99,0.0,corporate auto,64.669515,four-door car,agent,no
13,california,5454.587929,master,male,66334,69,0.0,personal auto,331.2,two-door car,call center,no
14,arizona,12836.00951,high school or below,male,0,116,0.0,personal auto,835.2,two-door car,agent,no
15,california,4626.801093,master,female,79487,114,0.0,special auto,547.2,suv,branch,yes
16,california,5326.677654,high school or below,female,76717,66,0.0,personal auto,300.528579,two-door car,call center,no
17,oregon,2497.531509,high school or below,male,0,69,0.0,corporate auto,272.381465,two-door car,branch,no
18,california,2736.352663,college,male,17533,73,0.0,personal auto,350.4,two-door car,agent,no
19,california,3746.751625,college,female,41479,94,1.0,personal auto,19.575683,two-door car,call center,yes
20,california,7247.313475,bachelor,female,0,104,0.0,personal auto,499.2,suv,call center,no
21,oregon,6274.447705,high school or below,female,13662,85,0.0,personal auto,408.0,four-door car,agent,no
22,oregon,15031.5645,college,female,59456,189,0.0,personal auto,907.2,luxury car,call center,no
23,california,5107.071054,bachelor,male,70174,64,,personal auto,128.90032,four-door car,agent,no
24,oregon,2502.209885,high school or below,male,0,74,1.0,corporate auto,355.2,four-door car,agent,no
25,nevada,9521.222806,college,male,27769,121,0.0,special auto,123.15416,suv,agent,no
26,arizona,8869.619888,college,female,81350,110,0.0,personal auto,228.185834,suv,branch,no
27,oregon,4376.363592,bachelor,female,63774,111,0.0,personal auto,60.036683,four-door car,agent,yes
28,nevada,2926.886293,college,female,92381,72,0.0,special auto,234.774747,four-door car,call center,no
29,california,24706.92011,high school or below,male,26307,73,0.0,personal auto,313.192439,four-door car,call center,no
30,california,8491.465719,high school or below,female,0,116,0.0,personal auto,1193.115879,four-door car,branch,no
31,california,9191.733549,master,female,23823,115,0.0,corporate auto,567.48055,sports car,branch,no
32,arizona,5776.338737,high school or below,female,27510,159,3.0,corporate auto,871.457982,suv,call center,no
33,california,9115.57169,bachelor,female,69588,114,0.0,personal auto,173.080024,suv,branch,no
34,california,4163.04081,college,female,43276,104,0.0,personal auto,499.2,suv,call center,no
35,california,5264.642009,college,female,0,72,0.0,special auto,135.888306,four-door car,branch,no
36,california,3945.241604,college,male,28855,101,0.0,personal auto,647.442031,suv,call center,no
37,oregon,5176.730072,high school or below,male,41533,65,0.0,corporate auto,232.879766,four-door car,agent,no
38,arizona,4492.23348,bachelor,female,21137,61,1.0,personal auto,292.8,four-door car,web,no
39,oregon,8470.043225,bachelor,female,0,82,0.0,personal auto,479.312226,four-door car,web,no
40,california,2880.348532,college,female,81565,71,0.0,personal auto,190.642833,four-door car,branch,no
41,arizona,6182.618843,high school or below,male,20072,82,0.0,corporate auto,473.266879,four-door car,agent,no
42,nevada,9799.175061,college,male,22166,126,0.0,personal auto,604.8,suv,web,no
43,arizona,5790.565333,master,male,84551,72,0.0,personal auto,28.92584,four-door car,agent,no
44,arizona,5041.447024,college,male,61972,64,2.0,personal auto,138.961963,four-door car,call center,no
45,arizona,5745.94334,bachelor,female,57740,74,3.0,personal auto,269.905129,four-door car,web,no
46,arizona,4827.77681,college,female,0,68,0.0,personal auto,326.4,four-door car,branch,no
47,california,7664.219255,college,male,60184,199,1.0,personal auto,161.61574,luxury suv,web,no
48,california,3593.12645,college,female,18213,96,1.0,corporate auto,460.8,four-door car,branch,no
49,nevada,9863.502214,master,female,99654,121,0.0,personal auto,272.788141,suv,call center,no
50,california,5111.304579,high school or below,female,76448,63,0.0,personal auto,302.4,four-door car,web,no
51,arizona,2590.096027,high school or below,male,22398,67,,personal auto,321.6,four-door car,agent,no
52,arizona,2452.491364,high school or below,female,51085,62,1.0,personal auto,406.902001,two-door car,call center,no
53,oregon,2194.668123,college,male,0,62,0.0,personal auto,623.525433,four-door car,call center,no
54,california,4473.883999,high school or below,female,0,125,0.0,personal auto,600.0,suv,branch,no
55,arizona,19435.62924,high school or below,female,38688,249,0.0,special auto,2294.631639,luxury car,agent,no
56,oregon,2457.576007,high school or below,female,52926,61,0.0,personal auto,292.8,four-door car,call center,no
57,oregon,6870.607058,college,male,0,105,0.0,personal auto,756.0,four-door car,branch,no
58,,14019.83314,college,male,31739,71,0.0,personal auto,469.882367,two-door car,call center,
59,arizona,5575.751228,high school or below,male,91416,69,,personal auto,109.904496,four-door car,call center,no
60,oregon,5651.396772,bachelor,male,44634,71,1.0,personal auto,396.035334,four-door car,branch,no
61,california,4556.068318,bachelor,male,25617,63,0.0,personal auto,302.4,two-door car,call center,no
62,,2108.493744,bachelor,male,0,61,0.0,personal auto,351.85681,two-door car,agent,
63,oregon,3095.705571,college,female,0,92,1.0,personal auto,774.892461,two-door car,web,no
64,arizona,5860.16743,bachelor,male,94527,73,0.0,personal auto,41.464402,four-door car,agent,no
